total_steps,0,1,2,3
1000,0.96,0.3,0.39,0.4
2000,0.94,0.33,0.34,0.31
3000,0.93,0.34,0.23,0.33
4000,0.94,0.28,0.31,0.31
5000,0.97,0.33,0.31,0.36
6000,0.93,0.35,0.39,0.35
7000,0.94,0.32,0.34,0.25
8000,0.96,0.4,0.44,0.38
9000,0.95,0.36,0.34,0.29
10000,0.94,0.31,0.31,0.28
11000,0.95,0.33,0.3,0.26
12000,0.93,0.4,0.36,0.33
13000,0.94,0.35,0.26,0.39
14000,0.95,0.34,0.34,0.31
15000,0.96,0.38,0.41,0.32
16000,0.96,0.39,0.36,0.3
17000,0.93,0.35,0.52,0.3
18000,0.97,0.32,0.3,0.26
19000,0.93,0.31,0.24,0.32
20000,0.96,0.38,0.38,0.37
21000,0.93,0.18,0.35,0.33
22000,0.94,0.36,0.38,0.36
23000,0.94,0.39,0.37,0.51
24000,0.95,0.38,0.5,0.38
25000,0.91,0.41,0.33,0.23
26000,0.95,0.38,0.34,0.35
27000,0.95,0.29,0.31,0.39
28000,0.97,0.45,0.36,0.32
29000,0.96,0.32,0.36,0.25
30000,0.93,0.31,0.43,0.32
31000,0.95,0.32,0.42,0.36
32000,0.95,0.32,0.31,0.19
33000,0.92,0.31,0.27,0.35
34000,0.96,0.34,0.36,0.3
35000,0.92,0.36,0.36,0.34
36000,0.95,0.36,0.31,0.35
37000,0.95,0.38,0.34,0.28
38000,0.9,0.32,0.34,0.32
39000,0.96,0.41,0.37,0.29
40000,0.94,0.3,0.25,0.33
41000,0.91,0.3,0.35,0.38
42000,0.97,0.27,0.29,0.23
43000,0.92,0.28,0.32,0.34
44000,0.92,0.4,0.25,0.32
45000,0.97,0.35,0.33,0.28
46000,0.97,0.23,0.31,0.26
47000,0.96,0.24,0.27,0.25
48000,0.97,0.36,0.32,0.3
49000,0.93,0.33,0.37,0.41
50000,0.96,0.27,0.33,0.21
51000,0.96,0.32,0.32,0.31
52000,0.92,0.3,0.4,0.39
53000,0.93,0.39,0.33,0.28
54000,0.98,0.42,0.4,0.36
55000,0.9,0.4,0.46,0.31
56000,0.87,0.33,0.35,0.28
57000,0.94,0.35,0.29,0.32
58000,0.95,0.39,0.37,0.31
59000,0.96,0.28,0.42,0.27
60000,0.93,0.29,0.41,0.3
61000,0.94,0.38,0.42,0.35
62000,0.95,0.34,0.28,0.32
63000,0.91,0.38,0.25,0.26
64000,0.96,0.28,0.27,0.35
65000,0.97,0.39,0.35,0.29
66000,0.99,0.31,0.35,0.25
67000,0.95,0.32,0.29,0.29
68000,0.91,0.26,0.32,0.27
69000,0.98,0.27,0.31,0.27
70000,0.96,0.3,0.31,0.29
71000,0.96,0.26,0.31,0.36
72000,0.97,0.36,0.36,0.37
73000,0.9,0.27,0.24,0.34
74000,0.94,0.28,0.45,0.35
75000,0.98,0.32,0.32,0.38
76000,0.94,0.32,0.27,0.31
77000,0.95,0.31,0.32,0.41
78000,0.94,0.31,0.3,0.39
79000,0.93,0.34,0.38,0.34
80000,0.95,0.38,0.24,0.34
81000,0.91,0.4,0.31,0.31
82000,0.95,0.36,0.4,0.42
83000,0.96,0.43,0.39,0.32
84000,0.95,0.33,0.43,0.27
85000,0.96,0.41,0.38,0.43
86000,0.95,0.38,0.33,0.34
87000,0.98,0.31,0.3,0.28
88000,0.94,0.42,0.27,0.33
89000,0.96,0.32,0.25,0.28
90000,0.96,0.34,0.33,0.44
91000,0.94,0.33,0.31,0.38
92000,0.95,0.28,0.36,0.32
93000,0.9,0.45,0.32,0.32
94000,0.97,0.35,0.36,0.27
95000,0.93,0.34,0.28,0.31
96000,0.97,0.33,0.36,0.31
97000,0.89,0.27,0.38,0.27
98000,0.95,0.26,0.29,0.35
99000,0.96,0.3,0.31,0.25
100000,0.97,0.45,0.44,0.39
