steps,time_per_step,pred_success,nodes,filtered_nodes
500,0.0004,0.5614,172,3
1000,0.0004,0.5168,211,8
1500,0.0005,0.5158,235,10
2000,0.0004,0.5179,259,15
2500,0.0004,0.5129,278,19
3000,0.0004,0.4712,315,27
3500,0.0004,0.4246,352,29
4000,0.0003,0.4183,418,35
4500,0.0004,0.3846,479,38
5000,0.0004,0.3753,533,44
5500,0.0004,0.3627,573,46
6000,0.0004,0.3881,607,52
6500,0.0004,0.3671,643,57
7000,0.0004,0.3799,673,59
7500,0.0004,0.3737,706,60
8000,0.0005,0.3634,715,65
8500,0.0004,0.3711,731,68
9000,0.0004,0.3695,750,73
9500,0.0004,0.3734,763,80
10000,0.0004,0.3899,779,89
10500,0.0005,0.3686,798,94
11000,0.0005,0.3709,812,100
11500,0.0004,0.3759,829,109
12000,0.0003,0.3898,848,119
12500,0.0004,0.3735,859,128
13000,0.0006,0.3722,872,136
13500,0.0006,0.3877,878,141
14000,0.0006,0.3797,889,147
14500,0.0007,0.3787,903,149
15000,0.0006,0.3897,913,156
15500,0.0004,0.3811,922,161
16000,0.0004,0.3837,933,167
16500,0.0004,0.3766,942,175
17000,0.0004,0.3677,948,179
17500,0.0004,0.3859,958,184
18000,0.0004,0.3716,968,189
18500,0.0003,0.3875,976,196
19000,0.0004,0.385,986,202
19500,0.0004,0.3897,992,208
20000,0.0004,0.3759,997,213
20500,0.0004,0.3717,1001,214
21000,0.0004,0.3818,1015,222
21500,0.0004,0.372,1019,224
22000,0.0004,0.3746,1026,230
22500,0.0004,0.3744,1032,231
23000,0.0004,0.3706,1042,236
23500,0.0004,0.3855,1048,239
24000,0.0004,0.3833,1054,246
24500,0.0004,0.3768,1057,252
25000,0.0007,0.3745,1061,255
25500,0.0008,0.378,1066,259
26000,0.0007,0.3895,1067,261
26500,0.0007,0.3765,1070,264
27000,0.001,0.3772,1071,268
27500,0.0004,0.384,1075,272
28000,0.0005,0.3837,1077,276
28500,0.0004,0.3747,1084,280
29000,0.0004,0.369,1088,285
29500,0.0005,0.374,1094,288
30000,0.0004,0.3798,1098,292
30500,0.0005,0.387,1100,296
31000,0.0004,0.3695,1107,299
31500,0.0004,0.3873,1112,303
32000,0.0004,0.3709,1118,305
32500,0.0004,0.3827,1124,309
33000,0.0004,0.3877,1126,309
33500,0.0004,0.3823,1132,317
34000,0.0005,0.3749,1135,322
34500,0.0005,0.3666,1136,324
35000,0.0004,0.3702,1144,327
35500,0.0006,0.3841,1148,328
36000,0.0008,0.3737,1150,330
36500,0.0008,0.3729,1152,333
37000,0.0007,0.3751,1156,334
37500,0.0007,0.3794,1160,334
38000,0.0006,0.3779,1161,336
38500,0.0005,0.3774,1168,339
39000,0.0005,0.3928,1169,341
39500,0.0004,0.3876,1174,343
40000,0.0005,0.3782,1174,345
40500,0.0004,0.3837,1177,348
41000,0.0004,0.3762,1179,348
41500,0.0004,0.3877,1182,352
42000,0.0004,0.3785,1184,357
42500,0.0004,0.3788,1185,361
43000,0.0005,0.3909,1185,366
43500,0.0005,0.39,1187,369
44000,0.0005,0.3724,1189,371
44500,0.0004,0.3794,1189,371
45000,0.0004,0.3826,1192,371
45500,0.0004,0.3808,1193,375
46000,0.0004,0.384,1196,377
46500,0.0006,0.3915,1198,379
47000,0.0008,0.3802,1200,381
47500,0.0008,0.3737,1201,387
48000,0.0008,0.3788,1201,389
48500,0.0007,0.3894,1201,390
49000,0.0004,0.3797,1201,393
49500,0.0004,0.3751,1201,397
50000,0.0004,0.3797,1202,399
